******************** create index ********************
...Done
******************** ranked retrieval ********************
(1, 0.0)
(2, 0.6478881507319297)
(3, 0.0)
(4, 0.0)
(5, 0.0)
(6, 0.7743744534035564)
(7, 0.0)
(8, 0.0)
(9, 0.0)
(10, 0.0)
(11, 0.0)
(12, 0.0)
(13, 0.0)
(14, 0.0)
(15, 0.0)
(16, 0.0)
(17, 0.0)
(18, 0.0)
(19, 0.0)
(20, 0.0)
(21, 0.0)
(22, 0.0)
(23, 0.0)
(24, 0.0)
(25, 0.0)
(26, 0.0)
(27, 0.0)
(28, 0.0)
(29, 0.0)
(30, 0.0)
(31, 0.8152533135568709)
(32, 0.0)
(33, 0.6656515431091845)
(34, 0.0)
(35, 0.0)
(36, 0.6395373160534865)
(37, 0.0)
(38, 0.0)
(39, 0.22110441141285908)
(40, 0.15913162968447028)
(41, 0.0)
(42, 0.0)
(43, 0.0)
(44, 0.0)
(45, 0.0)
(46, 0.5128450736242881)
(47, 0.7243609734266124)
(48, 0.05331557844477009)
(49, 0.0)
(50, 0.7291847311980457)
(51, 0.0)
(52, 0.0)
(53, 0.0)
(54, 0.0)
(55, 0.0)
(56, 0.0)
(57, 0.0)
(58, 0.0)
(59, 0.0)
(60, 0.3829640743446838)
(61, 0.7686281952011549)
(62, 0.0)
(63, 0.0)
(64, 0.0)
(65, 0.0)
(66, 0.0)
(67, 0.7743744534035564)
(68, 0.6056234453408809)
(69, 0.9044423460065292)
(70, 0.0)
(71, 0.27969027429189347)
(72, 0.0)
(73, 0.2883480777954618)
(74, 0.0)
(75, 0.0)
(76, 0.0)
(77, 0.0)
(78, 0.21360239776857043)
(79, 0.0)
(80, 0.0)
(81, 0.0)
(82, 0.0)
(83, 0.0)
(84, 0.0)
(85, 0.0)
(86, 0.0)
(87, 0.0)
(88, 0.0)
(89, 0.0)
(90, 0.0)
(91, 0.0)
(92, 0.0)
(93, 0.0)
(94, 0.0)
(95, 0.0)
(96, 0.31092541409399316)
(97, 0.4829073156177417)
(98, 1.0152483134969659)
(99, 0.0)
(100, 0.0)
(101, 0.0)
(102, 0.0)
(103, 0.7695544414995638)
(104, 0.0)
(105, 0.7291847311980457)
(106, 0.0)
(107, 0.0)
(108, 0.0)
(109, 0.0)
(110, 0.0)
(111, 0.0)
(112, 0.0)
(113, 0.0)
(114, 0.0)
(115, 0.0)
(116, 0.0)
(117, 0.0)
(118, 0.8152533135568709)
(119, 0.0)
(120, 0.0)
(121, 0.0)
(122, 0.0)
(123, 0.2601981428173908)
(124, 0.12584541838025895)
(125, 0.0)
(126, 0.0)
(127, 0.0)
(128, 0.0)
(129, 0.0)
(130, 0.0)
(131, 0.0)
(132, 0.0)
(133, 0.0)
(134, 0.0)
(135, 0.7243609734266124)
(136, 0.0)
(137, 0.0)
(138, 0.0)
(139, 0.0)
(140, 0.0)
(141, 0.0)
(142, 0.0)
(143, 0.5953768398879072)
(144, 0.08036065016305038)
(145, 0.0)
(146, 0.5162496356023709)
(147, 0.0)
(148, 0.7243609734266124)
(149, 0.0)
(150, 0.0)
(151, 0.0)
(152, 0.0)
(153, 0.0)
(154, 0.0)
(155, 0.0)
(156, 0.0)
(157, 0.7243609734266124)
(158, 0.0)
